cian_id,price_rub,rooms_count,total_area,kitchen_area,floor_number,floors_total,is_newbuilding,photos_count,district,metro_name,metro_minutes,address_full,lat,lon,jk_name,decoration,building_material,luxury_description,luxury_photo,luxury_reason
320335472,174397860,3.0,152.1,,3,11,True,3,Даниловский,Павелецкая,,"Москва, ЮАО, р-н Даниловский, м. Павелецкая, Дербеневская набережная, 27с24",55.7253323113978,37.6542770089447,"Клубный дом ""ОПУС""",without,monolithBrick,50,44,
326834657,154990000,3.0,156.4,18.0,4,7,True,3,Арбат,Арбатская,8.0,"Москва, ЦАО, район Арбат, улица Арбат, 18С1",55.750459,37.593911,,,monolithBrick,50,58,
323904693,155000000,4.0,156.4,10.0,4,6,True,3,Арбат,Арбатская,8.0,"Москва, ЦАО, район Арбат, улица Арбат, 18С1",55.750459,37.593911,,,monolithBrick,50,40,
327891795,21250000,,25.0,5.2,20,21,True,3,Марфино,Бутырская,12.0,"Москва, СВАО, район Марфино, улица Академика Королева, 21",55.8205830303055,37.6022541586287,Дом Достижение,without,monolith,50,42,
322960939,178000000,5.0,255.0,17.0,5,5,False,3,Хамовники,Кропоткинская,,"Москва, ЦАО, р-н Хамовники, м. Кропоткинская, Нащокинский переулок, 8",55.745833,37.598672,,,brick,50,48,
323003557,18595080,1.0,32.97,,2,70,True,3,Можайский,Давыдково,,"Москва, ЗАО, р-н Можайский, м. Давыдково, Веер ЖК",55.70786487603928,37.43722852918783,Веер,without,monolith,50,41,
286886078,15256100,2.0,61.0,22.1,5,20,True,3,Северный,Новодачная,,"Москва, СВАО, р-н Северный, м. Новодачная, Долгопрудненское шоссе, 3А",55.922717265663735,37.53363358399144,ФизтехСити,,monolith,50,39,
328018640,61900000,3.0,73.0,15.0,12,19,True,3,Гагаринский,Ленинский проспект,14.0,"Москва, ЮЗАО, район Гагаринский, Ленинский проспект, 38Ак1",55.704443,37.572198,Ленинский 38,,monolith,50,37,
326333119,155000000,4.0,134.1,,26,34,True,3,Дорогомилово,Парк Победы,17.0,"Москва, ЗАО, район Дорогомилово, Поклонная улица, 9",55.734334,37.525324,Поклонная 9,,,50,46,
327162980,69900000,5.0,156.0,32.5,12,13,True,3,Даниловский,ЗИЛ,,"Москва, ЮАО, р-н Даниловский, м. ЗИЛ, набережная Марка Шагала, 13",55.686538,37.642249,Шагал,,,50,46,
328635167,106666560,1.0,45.76,,2,9,True,3,Пресненский,Краснопресненская,,"Москва, ЦАО, р-н Пресненский, м. Краснопресненская",55.75824189386299,37.5774017288348,Дом Спорта,without,monolithBrick,50,61,
316070882,51000000,2.0,85.0,40.0,6,28,True,3,Филевский парк,Парк Победы,14.0,"Москва, ЗАО, район Филевский парк, улица Василисы Кожиной, 13",55.736184,37.499866,Квартал апартаментов Match Point,,monolith,50,50,
320393509,46408097,3.0,86.2,,11,43,True,3,Савеловский,Дмитровская,,"Москва, САО, р-н Савеловский, м. Дмитровская, 2-я Хуторская улица, 34",55.8061573028355,37.5718057748288,Симфония 34,,monolith,50,41,
322430221,82863480,1.0,48.3,,11,19,True,3,Дорогомилово,Москва-Сити,,"Москва, ЗАО, р-н Дорогомилово, м. Москва-Сити, Кутузовский проспект, вл12",55.7499046044329,37.5576113227512,Веспер Кутузовский,without,monolithBrick,50,65,
